# Key,zh trans,en trans
other_lang,en,zh
lang,zh,en
change_lang,更换语言,Change Language
shuttle_title,校巴时刻表,Shuttle Schedule
contact_title,校园通讯录,Contacts
schedule_title,EPC 课程表,EPC Class Schedule
phone_colon,电话：,Phone: ,
email_colon,邮箱：,Email: ,
next_shuttle,下一班车：,Next shuttle: ,
shuttle_from,起点,From
shuttle_to,终点,To
shuttle_time,时间,Time
shuttle_pickup,乘车地点,Pickup Location
shuttle_remaining,还有：,Remaining: ,
shuttle_no_shuttle,现在没有校巴了,There is no shuttle now
Monday,周一,Monday
Tuesday,周二,Tuesday
Wednesday,周三,Wednesday
Thursday,周四,Thursday
Friday,周五,Friday
week_1,第一周,Week 1
week_2,第二周,Week 2
week_3,第三周,Week 3
current_class,正在上：,Current Class:
next_class,下一门课：,Next Class:
move_title,此功能将在小程序中启用,This Page Will Be Available In Mini App
move_message,此功能已被移入微信校园卡小程序中，请扫描以下小程序码获取微校校园卡小程序。,This function has been moved to our WeChat Miniprogram\, please scan the Miniprogram Code below to get our WeChat Miniprogram.
shuttle_line,线路,Line
shuttle_service_time,服务时间,Service Time
shuttle_interval_before,每,Every
shuttle_interval_after,分钟一班,minutes
shaw,逸夫,Shaw
diligentia,学勤,Diligentia
muse,思廷,Muse
electricity_notification_first,您的宿舍的电马上就要用完了！,Your dorm will soon run out of electricity!
electricity_notification_remark,您可以点击这条消息进入小程序立即充值电费。\n如需关闭提醒或调整提醒阈值，也请在小程序中设置。,You can tap this message to top up the electricity fees now in the miniprogram.\nYou can also tune the settings there.
choose_identity_title,领取香港中文大学（深圳）微信校园卡,Obtain Your CUHK-Shenzhen WeChat Campus Card
choose_identity_description,请选择你在香港中文大学（深圳）的身份,Please choose your identity in CUHK-Shenzhen.
choose_identity_student,学生,Student
choose_identity_staff,教职工,Staff
choose_identity_alumni,校友,Alumni
choose_identity_help,请务必正确选择您的身份。若选择错误，将无法正常激活微信校园卡。,Please make sure that you choose the right identity. You won't be able to activate the card if incorrect.